N,Beta_noise,Serie,Skewness_2,Kurtosis,Alfa,Beta_PSD,Psi
8192,0,1,0.00043862281667081924,-0.046714127292412755,0.5035724536886004,-0.03141470516904943,0.37812590996014495
8192,0,2,0.0011005071636221928,0.005080247928253012,0.4806345807389547,0.052735089790268974,0.4023633393979764
8192,0,3,0.0016568890403344224,0.029532526176862195,0.48803227378998665,0.2951761652296588,0.37956468164951723
8192,0,4,3.5925336965985956e-05,-0.03675515432401388,0.5426226285070312,0.16404228296653023,0.3870802887062298
8192,0,5,0.00013536818137015159,-0.007647899105493572,0.5020535725459682,0.133083835705671,0.3576907064478784
8192,0,6,0.0016958299661210409,-0.050789597491736505,0.4614843899767228,-0.09096298636243427,0.3628174043268734
8192,0,7,0.00014294684368435664,-0.08157624960491328,0.5481713450265352,0.02798401130356476,0.3570337045046038
8192,0,8,0.0007302678059380681,-0.03452257334256359,0.488170883181458,0.06488896845818992,0.3671893068327172
8192,0,9,4.19727565351614e-05,-0.021884020699062035,0.49879718066694095,-0.049772758677166795,0.3533050639495088
8192,0,10,4.950765747465242e-06,0.018876103716491066,0.5083845594724439,0.01524103643165664,0.3835464307700682
8192,0,11,2.424856900083392e-07,-0.009664266588291781,0.5028633043385717,0.010768480683917003,0.3800754593434857
8192,0,12,0.0005466189109207582,-0.008218288519600492,0.4932792531010086,0.05882490376409866,0.38611293273204433
8192,0,13,0.0002838783567472105,-0.07657484794904201,0.4963696370309499,0.04519965741557885,0.4065928397685694
8192,0,14,0.0014750806369410471,0.014286398399282252,0.4943780723448164,-0.17257220681839144,0.39607473192535314
8192,0,15,3.256571399234814e-05,0.06581956380636367,0.5097486668830948,-0.05164870417869427,0.4063141035316268
8192,0,16,0.0006170021842638798,-0.06368993697561498,0.4892386950809233,0.11899777617853746,0.3675147683461564
8192,0,17,0.00018712827695230457,0.010185418890647835,0.48326588770651746,0.1338857542263261,0.3441294027834303
8192,0,18,3.9842317594063814e-06,-0.008593130422565043,0.5218887425077913,-0.16993978122703868,0.3581342983106089
8192,0,19,4.3603521146333054e-05,0.006593378915487946,0.49417565140723724,0.029999420207064142,0.35102008107263627
8192,0,20,0.0001169519043703931,-0.08537268645514606,0.5499631138617739,0.29834129802972265,0.3879233493680754
8192,1,1,0.01881214423496608,0.0013557227408345085,1.012751199747903,-1.2208137964562114,0.3868076083726856
8192,1,2,0.007611672321703607,0.005205884282065476,1.0037647636389435,-0.8108311574182903,0.36782438927557604
8192,1,3,0.015751302043548274,-0.02720662444346411,0.9810276077519554,-1.1036991654123451,0.3380101715963201
8192,1,4,0.0017270590447115042,-0.06390302500729028,0.9740124822461852,-0.864588345031807,0.35544756763558055
8192,1,5,0.015721390062358502,-0.1857614009198172,1.05517353849704,-1.267100312420932,0.37669412400198315
8192,1,6,0.02538645506793886,-0.012849955222427045,1.017385787178913,-0.875631997094253,0.3868306070522669
8192,1,7,0.0019991658422516202,0.3778625069103896,1.0315041720706617,-0.9499679109371768,0.3449874878094182
8192,1,8,0.0028750511199599257,0.07097666265910041,0.9905905504864976,-1.2132334338491337,0.3843569709501162
8192,1,9,0.014589607842292466,-0.14474307418695398,0.9799233597510191,-0.8452668189445371,0.36744375283632774
8192,1,10,0.022515270863203093,-0.013078706031767862,0.9900097298176789,-0.8994632946407337,0.3997373766140986
8192,1,11,0.008984708881047689,-0.14100989164677102,0.9863776174557969,-0.9222210884772974,0.3320037498607319
8192,1,12,9.6196921015053e-09,-0.14173364418334966,1.0142634935511503,-1.013091372915369,0.36878424088352685
8192,1,13,0.006298726284285681,-0.21836688313720565,0.9877099179156292,-0.9102594863579366,0.3780655411303194
8192,1,14,0.0002167073214420592,0.01749848538846921,0.9761547098580164,-1.1378803085780402,0.36743518516528034
8192,1,15,0.00087914377497875,-0.035945641814149276,0.9732267000638375,-0.886436701936923,0.35230916411942337
8192,1,16,0.00010539344265909284,-0.0011304950189199303,0.9894546225943351,-0.8010429110642391,0.3563762871016165
8192,1,17,0.09078720612992923,0.3442531787177807,1.0261619708561502,-1.0886465745066105,0.35250693706133757
8192,1,18,0.0034023474176803187,0.28744177110997793,0.9816470057161617,-1.043305132249328,0.40482835168360626
8192,1,19,0.0002881590032358935,0.12332743052495099,0.9922039337019516,-1.1190813420593828,0.37213356349096044
8192,1,20,0.002471156929626056,0.06564690885433855,1.04775036546963,-0.9670803564325962,0.41536362211840894
8192,2,1,0.11015140058195086,-1.1743727190826938,1.5047362935146202,-2.09221375899743,0.3717153025940628
8192,2,2,0.5302426741476536,1.1388025057406894,1.4271008241823062,-1.9037665721655106,0.35460830043221
8192,2,3,0.0007493337853004934,-0.8009940448270276,1.4264787297111317,-1.9539121364603282,0.4046386525364894
8192,2,4,0.21823204583416578,-0.4442774383254875,1.442046619816186,-1.867834896355117,0.36134766045365946
8192,2,5,0.02385246730559017,-0.8240554871414512,1.4811527750994322,-2.0904670613608376,0.42134670575769306
