N,Beta,Serie,Variancia,Skewness,Kurtosis
8192,0,1,0.9813174006691558,0.00956664490726074,-0.1274189915952455
8192,0,2,1.0240115151375868,0.042414215752076656,0.017068223562374474
8192,0,3,0.9900234463244615,-0.02437733377249956,-0.0025994507750226603
8192,0,4,1.0104280117176763,-0.006208412532945053,-0.11559954693201613
8192,0,5,1.0014704769627274,0.016396242394708282,0.0486607586735448
8192,0,6,1.0044017433607535,-0.0075066879721694115,0.0007411734631848077
8192,0,7,0.9997489021476422,0.038816577334957345,0.05116709251561158
8192,0,8,0.9769906472248855,0.01615199994408419,-0.03446628195535384
8192,0,9,0.9934764932130166,-0.007931708065273357,-0.08542825183743741
8192,0,10,1.0021914131850451,0.024079222210826878,-0.10182111888457035
8192,0,11,1.0040582338587842,0.03359046997241252,-0.00531113355433277
8192,0,12,1.0222819853281901,0.04059241651438697,0.08654340588201359
8192,0,13,0.972623925846815,0.025528330502238645,0.03547191032764596
8192,0,14,1.0191847953138282,0.004975570191009514,0.007369633474703097
8192,0,15,0.9777430827472917,-0.017076446017447733,0.05172370316388086
8192,0,16,1.031288520169383,0.017243148000214543,-0.011292800079370835
8192,0,17,0.9722521502840855,0.02857531126386157,0.001959139584910563
8192,0,18,1.0037843497880914,-0.017861842564807048,-0.07132713041654837
8192,0,19,0.9624714242660249,0.010832767827079561,-0.04141876905498565
8192,0,20,0.9874068126759713,-0.02745800672405674,-0.08123781130184105
8192,1,1,0.960032931945362,0.05174140399684395,-0.04629999099494286
8192,1,2,0.9946974513885971,0.036053820797338015,-0.13281636287857035
8192,1,3,0.836103883401911,-0.008684975202769946,-0.14696452768373636
8192,1,4,0.9186652736234633,-0.018159361602009448,-0.04287136544724213
8192,1,5,0.9974012250860057,0.041833563147478776,-0.072103096644347
8192,1,6,1.0492904796327456,-0.0009265105250576567,-0.20723473828881334
8192,1,7,0.8198355531085523,-0.07597419786691073,-0.0845095137093792
8192,1,8,1.0942283873956418,-0.12453658912958039,-0.17394738829857337
8192,1,9,0.8488531590409893,-0.017314557840849183,-0.04374355435853072
8192,1,10,0.8322465654175809,-0.0845690719157997,-0.09414975860908736
8192,1,11,1.0086115452836655,0.15176433562389235,-0.09359813493647229
8192,1,12,1.2597946805423,-0.07933295920833656,-0.08576139485307266
8192,1,13,1.157777777745797,-0.41142966475346715,0.2571756460536121
8192,1,14,0.7783378082925583,-0.11809900445181154,0.0537172730598523
8192,1,15,0.91258402460866,0.10765609132911402,0.01718238394076721
8192,1,16,0.9197792765384109,0.12406521814345854,0.02278068945927414
8192,1,17,1.0529969923228588,0.0627066868468685,-0.21468026342356694
8192,1,18,0.9897842901950409,0.11396762725546164,0.036201838748091575
8192,1,19,0.822529575167257,0.01587331122704989,-0.08516044414453194
8192,1,20,1.0954563348941138,0.032701669754942514,-0.24157499648700087
8192,2,1,0.9007599993829427,0.1999002756298276,-0.8963405862807337
8192,2,2,2.0736306435958585,0.36523394113926777,-1.1423169915489604
8192,2,3,1.4374396297383925,0.11767771933485507,-0.9646961585090619
8192,2,4,2.133453360299396,0.1754968994274724,-1.0711270930952557
8192,2,5,0.9108026583197166,0.1626001758906132,-0.7368907368717421
8192,2,6,0.7838016524957228,0.2790197367249777,-1.1360257577035366
8192,2,7,1.209587991578494,-0.18937239342726714,-0.39237012084293177
8192,2,8,1.1912578909819738,0.26659888582674324,-1.0268792146719072
8192,2,9,1.0393813897631436,-0.4082957971959271,-0.7583951358418779
8192,2,10,0.859822182114226,-0.24039645685171462,-0.8956542833918313
8192,2,11,0.41589475876983906,-0.3057473943444732,-0.41058479730284114
8192,2,12,0.6327698345449221,0.12809659091450099,-0.5177207574491787
8192,2,13,1.890564965540195,-0.5844159739206433,-0.9083927527690685
8192,2,14,0.36850923251933265,-0.3782404030723655,-0.19584485554171804
8192,2,15,1.2261205826219643,-0.3240886324597626,-1.1256658225169431
8192,2,16,1.3007514019412172,-0.14524367798511287,-0.9269230189777278
8192,2,17,1.2925657335163523,-0.07212467701165719,-0.4106686812847582
8192,2,18,0.984917184277972,0.023706090131159884,-0.8975182977476011
8192,2,19,0.9383673910750094,-0.5549004039457297,-0.6278300279127689
8192,2,20,1.1161889860430885,0.7809681813701824,-0.1974881292444821
