N,Beta,Serie,m1,m2,m3,m4
8192,0,1,0.0,0.9813174006691558,0.009298103387613589,2.7656187471225326
8192,0,2,0.0,1.0240115151375868,0.04394294594261333,3.162917635941297
8192,0,3,0.0,0.9900234463244615,-0.02400904527485283,2.9371751921875067
8192,0,4,0.0,1.0104280117176763,-0.0063046226830784135,2.944195573701703
8192,0,5,0.0,1.0014704769627274,0.01642941211241431,3.056869051316437
8192,0,6,0.0,1.0044017433607535,-0.007554922573509603,3.0264770488957367
8192,0,7,0.0,0.9997489021476422,0.03879485290182894,3.0488718282336666
8192,0,8,0.0,0.9769906472248855,0.01559489233297939,2.829954795500699
8192,0,9,0.0,0.9934764932130166,-0.00785278273075755,2.8759979694391653
8192,0,10,0.0,1.0021914131850451,0.024153993082600682,2.9102218768485413
8192,0,11,0.0,1.0040582338587842,0.033788965867684984,3.0183094612416155
8192,0,12,0.0,1.0222819853281901,0.041948982838701514,3.224803939562099
8192,0,13,0.0,0.972623925846815,0.024482755971704014,2.8708349726168363
8192,0,14,0.0,1.0191847953138282,0.005118500243520799,3.1231026839019975
8192,0,15,0.0,0.9777430827472917,-0.01650650336361188,2.9166612416049524
8192,0,16,0.0,1.031288520169383,0.01805540763591227,3.177885962864248
8192,0,17,0.0,0.9722521502840855,0.0273892288791786,2.836981270223711
8192,0,18,0.0,1.0037843497880914,-0.017960042269833623,2.9501870285850167
8192,0,19,0.0,0.9624714242660249,0.010226844876514877,2.740030416473377
8192,0,20,0.0,0.9874068126759713,-0.026936034090123004,2.8450463630116776
8192,1,1,0.0,0.960032931945362,0.048661766711377924,2.721667769152768
8192,1,2,0.0,0.9946974513885971,0.035760886028937566,2.836213099495116
8192,1,3,0.0,0.836103883401911,-0.006638644467569663,1.9940214070845403
8192,1,4,0.0,0.9186652736234633,-0.01598663257673491,2.495060572875963
8192,1,5,0.0,0.9974012250860057,0.04166296461790264,2.912014028473056
8192,1,6,0.0,1.0492904796327456,-0.0009956677098219568,3.074196839828575
8192,1,7,0.0,0.8198355531085523,-0.05638670442697008,1.959132034764682
8192,1,8,0.0,1.0942283873956418,-0.14252117690255306,3.3829841127430575
8192,1,9,0.0,0.8488531590409893,-0.013538817258661587,2.12962711629532
8192,1,10,0.0,0.8322465654175809,-0.0641963075298578,2.0122242369252956
8192,1,11,0.0,1.0086115452836655,0.15370078821062944,2.9559877288036502
8192,1,12,0.0,1.2597946805423,-0.11215632658421776,4.624058279511123
8192,1,13,0.0,1.157777777745797,-0.5124528149325868,4.364887058179502
8192,1,14,0.0,0.7783378082925583,-0.08108096227135346,1.8495081657930115
8192,1,15,0.0,0.91258402460866,0.09383575823533816,2.5121198342957425
8192,1,16,0.0,0.9197792765384109,0.10941980612210417,2.556622767662465
8192,1,17,0.0,1.0529969923228588,0.06774465231053985,3.0877031989981565
8192,1,18,0.0,0.9897842901950409,0.11220515453645424,2.9737456958712025
8192,1,19,0.0,0.822529575167257,0.01183900713576333,1.9715886868343353
8192,1,20,0.0,1.0954563348941138,0.037487199905957,3.3094759021039817
8192,2,1,0.0,0.9007599993829427,0.1708627916545573,1.7066927623674246
8192,2,2,0.0,2.0736306435958585,1.0904071732418612,7.987781475985463
8192,2,3,0.0,1.4374396297383925,0.2027678662023037,4.2051145580955005
8192,2,4,0.0,2.133453360299396,0.5467825482830235,8.779144628999983
8192,2,5,0.0,0.9108026583197166,0.14131163207038744,1.8771538021582832
8192,2,6,0.0,0.7838016524957228,0.19358185791988414,1.1450993065850237
8192,2,7,0.0,1.209587991578494,-0.2518797972650584,3.8145102358503564
8192,2,8,0.0,1.1912578909819738,0.34656722006493257,2.799896583567839
8192,2,9,0.0,1.0393813897631436,-0.4325713791562361,2.421345214699538
8192,2,10,0.0,0.859822182114226,-0.19162911636215108,1.555593218519334
8192,2,11,0.0,0.41589475876983906,-0.08198953106087606,0.4478038032388149
8192,2,12,0.0,0.6327698345449221,0.06446540118211645,0.9937320853903331
8192,2,13,0.0,1.890564965540195,-1.518902697787893,7.475261516470001
8192,2,14,0.0,0.36850923251933265,-0.08459816523683213,0.3807183969552161
8192,2,15,0.0,1.2261205826219643,-0.43993046686810566,2.817752677094927
8192,2,16,0.0,1.3007514019412172,-0.21543147696254428,3.5072693096342795
8192,2,17,0.0,1.2925657335163523,-0.10597009066232799,4.3252587838253875
8192,2,18,0.0,0.984917184277972,0.023167542612745534,2.039358213380484
8192,2,19,0.0,0.9383673910750094,-0.5043068519954612,2.088467314452652
8192,2,20,0.0,1.1161889860430885,0.9207896015570973,3.4908252234563797
