N,p,Serie,Skewness_2,Kurtosis,Alfa,Beta
8192,0.18,1,1752.4732017494948,2522.3093959177645,0.7685232965171935,-0.4694740938561248
8192,0.18,2,1752.4732017494935,2522.3093959177613,0.7454127014402515,-0.8096822772077862
8192,0.18,3,1752.4732017494948,2522.309395917764,0.7232873446490403,-0.5431934334771268
8192,0.18,4,1752.473201749493,2522.309395917761,0.7603929248225153,-0.8595366842765637
8192,0.18,5,1752.4732017494948,2522.3093959177636,0.7755715662889903,-0.7050804108427554
8192,0.18,6,1752.473201749493,2522.3093959177622,0.7146392618912696,-0.3378566652908645
8192,0.18,7,1752.4732017494935,2522.3093959177622,0.7713998056399265,-0.23197790933839113
8192,0.18,8,1752.4732017494941,2522.309395917763,0.72873609840201,-0.24616204293702248
8192,0.18,9,1752.473201749493,2522.309395917761,0.7188086203937103,-0.3381861927996761
8192,0.18,10,1752.4732017494935,2522.3093959177627,0.7680017738910566,-0.49767862341439706
8192,0.23,1,617.1508948355275,1037.2386218997995,0.803471394978491,-0.7494196483588262
8192,0.23,2,617.1508948355273,1037.2386218997992,0.8252359973732755,-0.31622270115283396
8192,0.23,3,617.1508948355277,1037.2386218997995,0.8409620025360585,-0.4278018853431694
8192,0.23,4,617.1508948355275,1037.2386218997995,0.8106776472867065,-0.5795586504493566
8192,0.23,5,617.1508948355273,1037.238621899799,0.7995503731103543,-0.7806797947770385
8192,0.23,6,617.1508948355273,1037.2386218997992,0.8219457002220345,-0.7442398747314458
8192,0.23,7,617.1508948355275,1037.2386218997995,0.7707011545259175,-0.37720483200590554
8192,0.23,8,617.1508948355272,1037.2386218997995,0.8309669901961516,-0.6286184655726539
8192,0.23,9,617.1508948355273,1037.2386218997995,0.8100312052713383,-0.7934111412666552
8192,0.23,10,617.1508948355275,1037.2386218997995,0.6786310462966417,-0.7933896993072674
8192,0.28,1,176.0202294672316,327.55947434879556,0.8752329685110583,-0.5560030394224336
8192,0.28,2,176.02022946723156,327.55947434879556,0.8601264104956279,-0.7433690099281933
8192,0.28,3,176.02022946723147,327.55947434879556,0.8805107708649728,-0.884349681130727
8192,0.28,4,176.0202294672316,327.55947434879545,0.873202682217312,-1.1845289635226117
8192,0.28,5,176.02022946723147,327.55947434879556,0.8718399597631836,-1.0186048355637234
8192,0.28,6,176.0202294672316,327.55947434879545,0.8627094667614781,-0.7772172108233042
8192,0.28,7,176.02022946723164,327.5594743487955,0.8484863916830607,-0.5520520767727284
8192,0.28,8,176.02022946723147,327.55947434879556,0.854213891134873,-0.7104943586822354
8192,0.28,9,176.0202294672317,327.5594743487957,0.8289229824990904,-0.8138937846136016
8192,0.28,10,176.02022946723147,327.5594743487955,0.8213827831409529,-0.7019053380028988
8192,0.32,1,59.57072050817566,112.90616421215157,0.8793276386563192,-0.7665700570177971
8192,0.32,2,59.5707205081757,112.90616421215164,0.8822635817748701,-0.8346951668383418
8192,0.32,3,59.57072050817569,112.90616421215161,0.8942934898296613,-0.9405448006987338
8192,0.32,4,59.57072050817569,112.90616421215164,0.8737195061916638,-0.8738288416568927
8192,0.32,5,59.57072050817569,112.90616421215164,0.8344785357504674,-0.9024330526033876
8192,0.32,6,59.57072050817569,112.90616421215161,0.8978487281257345,-0.6927661926916223
8192,0.32,7,59.5707205081757,112.90616421215165,0.9027032965100817,-1.0202607469429124
8192,0.32,8,59.57072050817569,112.90616421215161,0.9072599936060035,-1.1128115114383417
8192,0.32,9,59.57072050817569,112.9061642121516,0.9368973870295739,-1.0583997677164376
8192,0.32,10,59.5707205081757,112.90616421215164,0.9264345023565049,-0.8440743407661828
8192,0.37,1,14.984632189926112,27.14097870139417,0.961064029862063,-0.6984711964351804
8192,0.37,2,14.984632189926112,27.140978701394168,0.9372689119198059,-1.0320316818199453
8192,0.37,3,14.984632189926115,27.14097870139416,0.9387158733170252,-0.9639607044898645
8192,0.37,4,14.984632189926112,27.140978701394168,0.9538361552685896,-0.9801494338362744
8192,0.37,5,14.984632189926112,27.140978701394168,0.9308766381986114,-0.9474982980415623
8192,0.37,6,14.984632189926112,27.140978701394168,0.9407748837312092,-0.8962654048340534
8192,0.37,7,14.984632189926112,27.14097870139417,0.9129402821063524,-0.8665561242756411
8192,0.37,8,14.984632189926105,27.14097870139417,0.9593247396384516,-0.8913040305693508
8192,0.37,9,14.984632189926112,27.140978701394165,0.9551901578022709,-0.9120937925146512
8192,0.37,10,14.984632189926101,27.140978701394168,0.9477933671583102,-0.9394774393993526
8192,0.42,1,3.434212252153079,5.7442808532218015,0.9727933525864002,-1.1034439207654405
8192,0.42,2,3.434212252153075,5.744280853221796,0.992467089621738,-1.2456681031883632
8192,0.42,3,3.434212252153079,5.7442808532218015,0.9560933975750956,-1.1247597696097063
8192,0.42,4,3.434212252153074,5.744280853221796,0.9705838332946979,-0.9212690865239118
8192,0.42,5,3.434212252153078,5.7442808532218,0.9500691964809598,-0.8755206297611188
8192,0.42,6,3.4342122521530776,5.7442808532218015,0.9620732425226236,-0.8010885861005864
8192,0.42,7,3.4342122521530776,5.7442808532218015,0.9903819330148184,-0.9036784521065208
8192,0.42,8,3.434212252153075,5.744280853221796,0.9698351225149159,-0.8230398043060572
8192,0.42,9,3.434212252153078,5.7442808532218015,0.9679983561799397,-0.7444813572844764
8192,0.42,10,3.434212252153078,5.7442808532218015,0.95804360748114,-0.9173655378255021
