N,Beta_noise,Serie,Skewness_2,Kurtosis,Alfa,Beta_PSD
8192,0,1,0.00014351496822578736,-0.09293317178614302,0.506872864436794,-0.017047900835485685
8192,0,2,0.0018970793326049916,-0.0981250234953075,0.5155440124640437,-0.04906796728409235
8192,0,3,2.2256470864977636e-05,-0.014348564239763384,0.5036894942895367,0.2560249681052862
8192,0,4,5.891903274523699e-06,-0.02163851663312899,0.4998959260342978,0.21738093988462603
8192,0,5,2.221800304917097e-05,-0.09402309673025266,0.5089211879002928,0.011945580344358442
8192,0,6,0.00013588291723910778,0.02251530705921656,0.5526913028034817,-0.2954163373831691
8192,0,7,0.0003117148032836783,-0.00846260099952989,0.520981467425155,-0.3293493402573243
8192,0,8,3.473522212555618e-05,0.07124888724711065,0.506404949860376,0.0690865725294505
8192,0,9,0.00018682523621908173,0.07968978738989296,0.5161785494359588,-0.03647879577028901
8192,0,10,0.0010510014386755726,0.056454392295409495,0.4879702527402461,-0.12619268459710237
8192,0,11,0.00019471600714286838,0.09414010098116954,0.5143636311214345,-0.021465730295441632
8192,0,12,0.00076907222705716,0.05885143777644464,0.5033789299546387,-0.00724964836988036
8192,0,13,1.329950048796572e-05,-0.04342248136798865,0.5246978221408123,-0.012113007831420886
8192,0,14,0.00043603159668060757,0.07069001086248372,0.508571064065155,0.09090571540801877
8192,0,15,0.0002749532434603107,0.03581300851229052,0.49794022172544067,0.15107440145961815
8192,0,16,2.5379556990530594e-05,0.0631697932838291,0.4861539757542503,-0.09368174065600943
8192,0,17,1.6303889963438447e-05,-0.1096769239088018,0.47084998184769616,0.172272210775823
8192,0,18,0.0003991761978249179,-0.05929697193074368,0.5020541138776019,-0.2690971545053943
8192,0,19,0.0011736346277399648,-0.04318026322687274,0.5139967380559358,-0.26738980733225887
8192,0,20,0.001507125224081191,0.023386480188857917,0.5342150068898065,-0.22331020033720375
8192,1,1,0.004997156805312694,-0.4104324081117756,0.9978868814094172,-0.9855354562025582
8192,1,2,0.000547660375255039,0.0376067677508809,0.9991528393810902,-1.1227928098803108
8192,1,3,0.0021358939285667775,-0.09439152541714613,0.9824293905631573,-0.8660971509068113
8192,1,4,0.01676498274944328,-0.10328151615770187,1.0002821954260337,-0.9457754019549288
8192,1,5,0.0002765297468783005,-0.11338214179029604,0.958290496338358,-0.8420724050139212
8192,1,6,0.000517277265910987,-0.25084448177870033,0.9455398965392464,-0.995843334694098
8192,1,7,0.00214525105862892,-0.025587628187336176,0.9948757710239725,-0.9966290082493747
8192,1,8,0.00025341727349969563,-0.17505775665566814,0.9855804385020106,-1.0265939252966958
8192,1,9,0.001692424130549898,-0.19329629273012117,1.0108002671715972,-1.1313102050631916
8192,1,10,6.787354867758152e-05,-0.0889540916947471,0.9698542378513647,-0.920096345341844
8192,1,11,0.02851800927939055,-0.15689768972942897,0.9829771659760457,-0.7009021264441558
8192,1,12,0.006377747013696788,-0.1713839438960325,1.0043575290263567,-1.1252081249360564
8192,1,13,0.008680105116394814,-0.016571925552212985,0.9976433213223959,-1.0717133742214513
8192,1,14,0.007327234729648956,-0.10458543495025907,0.9771634494702804,-0.9584702344508973
8192,1,15,0.047974278415886244,0.012945733081350053,1.0012426687669767,-0.9346524127699551
8192,1,16,0.0013730575950782237,0.022024975005000336,1.020121986813787,-1.1788660276322591
8192,1,17,0.00036444968196461117,-0.006432525746012274,1.0137998858621202,-1.0470517929235494
8192,1,18,0.0170917639637062,-0.23344464552286714,1.0013581197602062,-1.1128345275086788
8192,1,19,0.00020650824648297392,-0.0030525447675833206,0.9734860500443262,-0.9092689573555468
8192,1,20,0.00979107299192554,0.036187550813031155,1.029369753889968,-0.9183285551361238
8192,2,1,0.08769120812077134,-1.1527317106229875,1.5076484165029982,-1.831672622216719
8192,2,2,0.0022555779456143936,-0.6858154638108847,1.4860913393573532,-2.006972807638033
8192,2,3,0.223640114264168,-0.1106241851084575,1.4445906197017202,-1.8618422719886194
8192,2,4,0.02448454863198642,-0.3776629764124535,1.486661932943984,-2.312745449470717
8192,2,5,0.11335081865676355,-0.5702516685341044,1.4383075402824552,-1.7620051233435103
8192,2,6,0.010683614806204635,-1.3023060091603742,1.4894149504324343,-1.9134170079969148
8192,2,7,0.024590281252063986,-0.8215766822777799,1.508372998775538,-1.986613929753876
8192,2,8,0.05587221272557561,-0.7268431629067229,1.4804855138922879,-1.8707068084512908
8192,2,9,0.0033990831313711676,-1.0340208553602972,1.4560012430887082,-2.364927713336826
8192,2,10,0.054618703424247954,-0.8436844191752986,1.433805855249997,-2.0614263717455783
8192,2,11,0.0066688937462661465,-1.1680524088202378,1.4696538190109425,-1.7079368045769543
8192,2,12,0.20507626585207464,-0.599986931003317,1.5486613497757638,-1.9536986820234845
8192,2,13,0.041427566563432015,-1.0635572342921034,1.5158373989713023,-2.191046779401895
8192,2,14,0.33323242138947984,-0.2051412701238986,1.4269272049358894,-1.9666735600120968
8192,2,15,0.28665253677919295,-0.07101735993967351,1.5027886593553486,-1.9852608627948574
8192,2,16,0.0914782365946782,-1.3545108499778964,1.5394850468195238,-2.074682725189712
8192,2,17,0.8603929583096014,0.8826787467053756,1.4838031634059032,-2.2906711075179267
8192,2,18,0.0182516901094011,-1.1836659533300122,1.540645538204385,-1.8021319682152772
8192,2,19,0.3971553352608608,-1.177197587126679,1.5306659069787827,-2.2604626530310012
8192,2,20,0.41158097615209127,0.20521847751015398,1.4423231181706822,-2.0189670169167484
