ID,Kurt.,$\alpha$
Anguilla,48.788407087115615,4.102930546192037
Benin,45.055501474189725,0.8910689265845327
Cambodia,63.166440726030565,0.8224728788117355
China,60.91409260945985,1.187305448029921
Ecuador,95.1148310474478,0.5861706295279856
Faeroe Islands,54.58861673513811,0.9418881559951734
Mongolia,58.014729893368056,0.5612268229809324
Palestine,53.068017318660566,0.6178856194575111
Papua New Guinea,63.5248121255906,0.4925942045333897
Tanzania,40.88029123894699,0.9364252375447876
Timor,59.70614470796372,0.6274422387343463
Trinidad and Tobago,63.19543430778845,0.4864627317009186
