ID,$S^{2}$,$\alpha$
Antigua and Barbuda,15.038510910425341,0.5613458810797657
Aruba,19.077956209097533,0.6223984376779413
Australia,12.399365132179193,1.322400155769798
Belize,14.411186730412258,0.8007687828725013
Benin,24.11092897607009,0.8910689265845327
Bermuda,14.438960195786489,0.4036779951381296
Bhutan,16.61741656327122,0.6598772830017912
Bonaire Sint Eustatius and Saba,13.473344731681435,0.7972148942736398
British Virgin Islands,12.114599668602091,0.602260418891307
Burundi,16.662930050187782,0.10508965071195518
Dominica,19.94851746353525,0.7897816205225272
Equatorial Guinea,12.904345354227315,0.3470240224823108
Falkland Islands,33.119573241713226,0.26855054526491584
Fiji,23.482288266791034,0.8174019241174713
French Polynesia,15.721060287868994,0.6770052067908174
Gambia,17.18161792503379,0.5339956461365941
Greenland,13.69610872730021,0.9179488187819953
Grenada,18.925838581573238,0.6854645111221387
Iraq,19.546907570973588,0.5141238806797385
Laos,11.813545957353556,0.4786841848617671
Liechtenstein,21.51147908320714,0.8491231250983994
Malawi,17.31498796467823,0.5078906068624675
Montserrat,25.116672256095356,0.5935199448545404
Mozambique,12.735591814500147,0.377461083000927
Nepal,20.894543565369283,0.35845960570129026
New Caledonia,16.620644312952006,1.10581798622892
Nicaragua,25.293081082106568,0.3431409573568555
Paraguay,13.196000593892274,0.831981847320979
Puerto Rico,16.77159923510528,0.44782949358117
Saint Kitts and Nevis,26.07535289089055,0.8028383919474644
Saint Lucia,21.145113885685106,0.810238804651238
Saint Vincent and the Grenadines,21.051701550035936,0.4756147999267045
Sao Tome and Principe,23.99131985507347,0.6317264211094596
Seychelles,12.25552077287626,0.812213402958589
Sint Maarten (Dutch part),11.63475362003888,0.641124240466814
South Sudan,14.497032101904086,0.6008481680377108
Sri Lanka,12.707380319239762,0.8079093916205822
Suriname,12.566973605966318,0.6657154221799125
Tanzania,35.61746984169494,0.9364252375447876
Turks and Caicos Islands,17.749909597565434,0.5515870789922444
United States Virgin Islands,18.690196193990644,0.5633312500274605
Vatican,31.196590983072905,0.8728371201213122
Zambia,15.548636839127667,0.6191779098871414
Zimbabwe,31.22112293773933,0.8279468877058946
