N,Serie,Skewness_2,Kurtosis,Alfa,Beta,Psi
64,1,0.26175648709637084,0.5051682393506502,1.1737855337530911,-3.1327877958455024,0.5184695479343824
64,2,0.1262495569041865,-1.0403169808679196,1.493169026476839,-2.1404465920841407,0.6246689298958648
64,3,0.012254333993062371,-1.014436180584068,1.0733815806039926,-1.876828412085927,0.5085581723746319
64,4,0.13137220968421764,-0.22266820668142273,1.247844433526185,-2.1967801298271903,0.542399209567479
64,5,0.0041668307912248554,-0.47672854459693603,1.390161713246806,-1.7595055165170537,0.5224039954795642
64,6,0.38242909816544157,0.36314475673322244,1.14925867748671,-1.105004897691981,0.5278601357379222
64,7,0.45997096643678265,1.5130562353325172,1.405141321099976,-2.6379752474922027,0.5479321259143363
64,8,0.12491371351467563,-0.369578379874532,1.1572068744761896,-1.5101625811363042,0.6679061054549635
64,9,0.06705705806298635,-0.4753936585970924,1.3881483832033883,-2.1611845348212055,0.4214865239703659
64,10,0.07084007206530453,-0.2493174737686621,1.3914656773758483,-1.2894834700437945,0.44288998216807735
128,1,0.03668382407464176,-0.6520422120797869,1.4570042128812628,-1.610767114883326,0.5381940251324807
128,2,0.07795773662793413,-0.518446104208981,1.3010486164501793,-1.7833432650781467,0.46067637677188644
128,3,0.00625727018283118,-0.015782210415312026,1.4965898742269517,-1.8935533171211982,0.5523065066559899
128,4,0.1329797054846788,-0.6371278322566458,1.3608450163006918,-1.4175308166367917,0.4624629888220539
128,5,0.018386315966127463,-0.8917882910038295,1.361809029065639,-1.0640121304210788,0.45750336717435713
128,6,2.095685771040835,1.5886512372029946,1.491055917733168,-0.914468006749775,0.5673219925027352
128,7,0.10777031276781303,-0.6816092107344556,1.470333426979577,-1.2468138795704813,0.47316939267712904
128,8,0.33287150069514404,-0.8753050283063204,1.4426449571349265,-1.9646761654183642,0.4597722380508452
128,9,0.07416897490855583,-1.0319209610479572,1.7401660493385849,-0.523652291874318,0.5743833115410735
128,10,0.4059838917028106,1.8454218837799692,1.1882591803010696,-1.0271954179395875,0.425741808255444
256,1,0.02703652027767032,-0.6454158859626724,1.5376015883142775,-1.4443888204423172,0.4153933475835368
256,2,0.0755742226254173,-0.9450917506745036,1.403307127148484,-1.6881535437865531,0.4192684792217534
256,3,0.08867242152912368,-1.0934568562683347,1.3936681212178865,-1.7669360300857058,0.47410586425407364
256,4,0.16188984012220614,-0.6107813936785593,1.4455655017684068,-1.637699001318751,0.44827379639479686
256,5,1.1594701036877095,-0.263047046190906,1.4670147929229915,-0.9486452453162867,0.3250068725894413
256,6,0.010888240878440937,-1.01767804958787,1.5319880007280002,-1.1852279972676425,0.5595081158463281
256,7,0.8655102193401777,0.03674000038321035,1.3341028206486238,-1.8505588045209678,0.44394405214433097
256,8,0.06757207653767142,-0.8896413673109556,1.389970733736682,-1.799006980013043,0.4618385938175324
256,9,0.029646191003350378,-0.7716279246139246,1.494631940134165,-1.7913093294033395,0.5436601982026652
256,10,0.058304108642677016,-1.3800098962769842,1.47429932718722,-1.6778234337717084,0.3461843737517423
512,1,0.004131699109423819,-1.495595034609867,1.5187218921222745,-1.573630331335584,0.48772273856940634
512,2,0.0009027296992904522,-0.8373070702371539,1.491975770167448,-1.7840261466141811,0.42146869027994477
512,3,0.7237380119816916,-0.3201580253004668,1.4609467013522786,-1.6260066307546637,0.3826169108003865
512,4,0.21968758860018248,-0.6726978307302556,1.4221929799126867,-1.9408471668018104,0.4238682850944231
512,5,0.008149849003564023,-1.314308357262224,1.401693807110155,-1.575999285857736,0.43987502316108634
512,6,0.09088311571257353,-0.864800755413075,1.3924350808722483,-1.894012300322159,0.4416712242593906
512,7,0.5664645688322697,0.4622733323904309,1.4298589133557613,-2.2417589280782857,0.4131469663830728
512,8,0.2830162097064486,-0.03407470592357198,1.5786229994396779,-1.8306537570369483,0.35611647753839987
512,9,0.002115732246248065,-1.320712002339675,1.4940242649222037,-1.6858885025125612,0.3780617369740486
512,10,0.01984738331043059,-0.8670002468409086,1.5511448264414185,-1.6755037739920293,0.40510249564420825
1024,1,0.6389802116371242,-0.5410666024087125,1.52075868851999,-1.9055517080731623,0.4200159477263912
1024,2,0.006200043784770395,-1.4629187015603284,1.4305695264591103,-2.022935331787017,0.4304853553711209
1024,3,0.05525303120770595,-0.798300857920716,1.5370170668884424,-1.6647744641106097,0.4578665027941114
1024,4,0.31978924708908485,-0.8305639565049141,1.6428499403278536,-1.7646678667696294,0.361303775492642
1024,5,0.48319565927708985,-1.1521371495171728,1.4602183325867018,-1.9663133280949967,0.37924969750811266
1024,6,0.2114499147667121,-1.0427471759844338,1.5031919554901925,-1.9842155333685267,0.4218747897832155
1024,7,0.043893451129223396,0.5983965245319816,1.499636256496245,-2.0181213591489877,0.4143117837192421
1024,8,0.038288974572574325,-1.151944998207616,1.5613160755463291,-1.8278519012722216,0.44964709854087603
1024,9,0.1785874618291966,-0.7251018594855512,1.4677274102428268,-2.0646971869992377,0.4166211914151915
1024,10,0.01761896504084412,-0.04714946811947973,1.390891721295938,-1.668839661258616,0.4493229423675005
2048,1,0.03705585061087858,-1.5682133887382868,1.5025499631037833,-2.3314600410556277,0.4089634662817714
2048,2,0.7420977237306434,-0.1883043869163381,1.6132411166921667,-2.0559165814672467,0.4071713009258338
2048,3,0.0025489887417892835,-1.325020950532286,1.4303080006029878,-2.2841635953841704,0.42047695632085225
2048,4,0.28666142516411874,-0.6990679341751878,1.518981929292872,-1.9641449934143296,0.41618960505387226
2048,5,0.03447350004764638,-0.6719436355054849,1.487881560473554,-2.2634265902648094,0.43254493829782825
2048,6,0.29972667161085764,-0.8881098849391198,1.5312749545297417,-2.2808097616088934,0.450132665892048
2048,7,0.009240030300309204,-1.5530428914094052,1.4272982649714248,-2.0341920747860094,0.4200876989794077
2048,8,0.06583812007857537,-0.7880473630599334,1.492241036684477,-2.2013054072199267,0.37821125789966703
2048,9,0.5731614635587697,-0.5951765883743234,1.4495255829065605,-1.8517796625901912,0.3370310231668474
2048,10,0.034879447842781554,-1.3205890823268003,1.4493342559464297,-1.908638275286432,0.38391094265709375
4096,1,0.13665491846487765,-0.48343071345922706,1.497035532091095,-1.8077679644258975,0.39306186027645096
4096,2,0.1587146041249437,-0.09343570783508781,1.4476922183969787,-1.9629908751326695,0.40421548811819136
4096,3,0.13471525111394128,-0.5751155238836785,1.5288771871997673,-1.8108094711651461,0.3888088920327086
4096,4,0.13187490354944342,-0.44983152764747203,1.4367809301880086,-1.983055700653592,0.3803956731903277
4096,5,0.14691737907407906,-1.1771082711453233,1.499577291575141,-1.7011556815289979,0.3821068915739863
4096,6,0.07424448228989985,-1.2671752727043337,1.4714516671906237,-2.0157570250486745,0.40700995440481513
4096,7,0.025816278943404842,-1.711883059390219,1.533242151476828,-1.9343477560889657,0.37657230657380275
4096,8,0.330303639306986,-0.275592008557334,1.4803408581698934,-2.0458477256654706,0.3977178196262499
4096,9,0.001431164485539386,-1.3430730275919782,1.4723769783733678,-1.8379308309797053,0.37292066834108795
4096,10,0.8023012086636857,0.15836488629922174,1.543980398172134,-1.9576680554937402,0.36980364804384963
8192,1,0.0030707833498378402,-0.46461815562089903,1.4608786470429203,-1.97040835781192,0.40982296764617754
8192,2,0.24867083920919117,-1.112948614453645,1.5395102332156583,-2.3710558512531126,0.3534842117055726
8192,3,0.05188938746197332,-0.542422863379151,1.4701816786000999,-1.8580534943086053,0.36673991999893435
8192,4,0.07195307926614311,-0.6813076203183979,1.4704518793264827,-2.177752865688462,0.3951203437245363
8192,5,0.008654078173740682,-0.9210534597608131,1.521171829979178,-2.013355066567447,0.3540063493853225
8192,6,0.21017068820421217,-1.2468411369489556,1.4950506245289317,-2.001228994311501,0.37024173259695525
8192,7,0.04517401961371568,-1.1732247443268369,1.4971054243921647,-1.9519728767133606,0.35277170424041304
8192,8,0.28003942582286395,-1.3363670066606976,1.5471950708337359,-2.0339740737509975,0.38161135782826183
8192,9,0.03786368809694355,0.058476466196982546,1.4960108247591324,-1.8541566809216914,0.3869646777534008
8192,10,0.00014892158789803914,-1.0237915204715398,1.4715445954029265,-1.6238639547889144,0.3845460876098833
