N,Serie,Skewness_2,Kurtosis,Alfa,Beta
64,1,0.009738057418827387,-0.48291768974123794,1.0764938720105643,-1.77973829956558
64,2,0.11244879560127037,-0.25941185329811756,1.5973491184719433,-1.108322661605559
64,3,0.39999613716444227,0.17034201047234498,1.2961771175473853,-2.3891616469139687
64,4,0.13103569884806152,-0.6348249700859498,1.1508392413954964,-0.2734766882745044
64,5,0.009435902826068049,-1.5166987428856789,1.3936250847663867,-0.9127679214134521
64,6,0.11875562161342752,-1.4133071311193202,1.4832380207292755,-3.6151508208706824
64,7,0.011723831277225021,-0.9520550107499441,1.1121664215471687,-2.922812625511831
64,8,0.19585928811717376,-1.316426178842753,1.6229751025742905,-1.2159286985514144
64,9,0.06510189821405257,-1.1185014634192845,1.3486566364816346,-2.0514933121054755
64,10,0.26922327860837925,-0.8928743941931092,1.1828112324793096,-2.810270765330658
128,1,0.001336784368034115,-1.48646554379512,1.510327449488293,-1.9557870050597987
128,2,0.08240888530962971,-1.1724436651784182,1.364872369341075,-1.316763040485672
128,3,0.00019305950092009561,-0.44095186350712856,1.4182161268194955,-0.92510878560978
128,4,0.5044952322955804,-0.3444473278967344,1.4391445732814696,-1.912285549722971
128,5,0.008319277869680319,-0.22122548153409927,1.4224517143210968,-1.6267080955868196
128,6,0.04385698381885899,-0.3280045701534995,1.5119937631746525,-2.3230989427267206
128,7,0.01571667448744568,-0.904893191763906,1.6948029974530092,-1.1032869927447555
128,8,0.056267668384059874,-1.4272680074399364,1.5086257339320557,-2.2091088583764655
128,9,0.08103989397109539,-1.2027403057059634,1.5784112837989301,-1.5213776446676104
128,10,0.5231914717577416,-0.503800845574875,1.5700590056728512,-2.010538901417841
256,1,0.6432812106086881,-0.521877583423509,1.58864586415342,-1.5200371371521788
256,2,0.018988898760374347,-0.9771639888992061,1.5973305215066258,-1.7433756088943988
256,3,0.2829413111881811,-1.027860166837749,1.477783324948294,-1.2683825528975956
256,4,0.049104760550664026,1.010557450135786,1.3143659580653702,-1.6516206262812676
256,5,0.8329761713103799,-0.38914451934158656,1.5587214969568972,-1.6784568851591986
256,6,0.4794505319806659,-0.4997425215681912,1.3645211409348224,-1.6482902198257556
256,7,0.09760855560971154,-0.5676816046583668,1.3127913057667304,-1.9292158497397183
256,8,0.2490101840817101,-0.9311355123526082,1.301880605514518,-1.4686913630609184
256,9,0.38219317551678356,-0.552108152845332,1.3857157614937452,-1.7643143042670895
256,10,0.05741499342911487,-0.6824894063575488,1.3765227294713334,-1.8121951529607725
512,1,0.06526770931541806,-0.4506003710441244,1.4663411336808152,-1.8666007811575165
512,2,1.1387618093166736,0.7805743705200823,1.334768662725222,-1.915431110081632
512,3,1.9364204445443196,1.9892133736736701,1.5659480407737343,-1.523145709190001
512,4,0.00010327911289932858,-1.7184544090724359,1.5940469477656554,-1.9882388785103369
512,5,0.03256132365061607,-1.3555309580753139,1.4785974103872996,-1.913360424972855
512,6,0.1133653334727124,-0.7385609580890473,1.5437343653468005,-2.0506729886698607
512,7,0.00010805890473522406,-1.0191059633547608,1.4488504648326137,-1.9035770539839219
512,8,1.0923929664054968,1.2159056157861343,1.448429530950587,-1.824633421412918
512,9,0.02829669981450471,-1.3557946270159154,1.4834228284384952,-1.5668311452470542
512,10,0.2488514852719429,-0.6852753678079075,1.3932126155108737,-1.7745010866966566
1024,1,0.11267572698881036,-1.0296558864668477,1.577036133324918,-1.7445944662679638
1024,2,0.0003938492147239347,-0.49561004802038244,1.3917988150416767,-1.9854629892792637
1024,3,0.0012531469432603586,-1.3287998147549411,1.4612622570654414,-2.1231742006286636
1024,4,1.7993016466864267,0.5042407742987489,1.5560094942120106,-2.21487644210289
1024,5,0.27227076075856005,-0.0013753944675709562,1.5010306231822808,-1.5224289993942748
1024,6,0.3783003123657078,-0.5255997366973384,1.5098148347075666,-1.9505098212865104
1024,7,0.050717552743227076,-0.9044055534192319,1.5806258417978538,-2.0157774025430837
1024,8,0.1582436514351189,-0.5023148603543901,1.4376369589819333,-2.1582313901631376
1024,9,0.009047059451589304,-0.7105686756906753,1.4154074463405175,-1.894414051765351
1024,10,0.015210323714201583,-1.4613515994199828,1.5009614741368442,-1.955701183785306
2048,1,0.18542404822389744,-1.1280643668433412,1.5629488578540467,-1.8849578763329646
2048,2,0.4885281411834467,-0.7377772361706549,1.534700430417015,-2.039404284069116
2048,3,0.12199139653197277,-0.42358887490945607,1.4801526799499485,-2.0469419132720517
2048,4,0.2022585543376072,-0.6994954173260366,1.4976604088396868,-1.9357257879822698
