N,Serie,Skewness_2,Kurtosis,Alfa,Beta
64,1,0.32729503922220915,-0.6915282213377405,0.9700554483417476,-3.3339994171878122
64,2,0.5015304867627444,-0.4718867406343539,1.476816927070576,-1.4732842279436842
64,3,4.551077973753037e-06,-0.8950956478546543,1.4629785561109958,-1.4057550320461407
64,4,0.00554476094912178,-1.1765162257915052,1.2766156526660852,-1.8222708825343537
64,5,0.13824077115655517,-0.40477531292007907,1.2975205095796978,-1.009580295077437
64,6,1.0755224956084566,0.7783019768663282,1.6757957010466633,-2.115141862141089
64,7,0.4624389364839692,-0.21593967909723943,1.1521635273215827,-0.37662371220681173
64,8,0.02826304343504995,-0.7282279372857068,1.532631031515479,-0.6654825430942748
64,9,0.14315266323725495,-0.789433898888189,1.5017894285228794,-0.759065610283108
64,10,0.2626246595030544,-0.7683573204253475,1.4530772947838335,-0.1658533969965954
128,1,0.0812710161295957,-1.1663970619522217,1.5828733829905417,-1.5774603060845394
128,2,0.017240792566158625,0.07604522507119738,1.47600147526335,-2.162248340409807
128,3,0.002740011956826363,-0.7383996788226734,1.4290698381238975,-1.4878984081654887
128,4,0.2284730225210517,-0.8959370330957985,1.3953784069328556,-1.549017835368292
128,5,0.5797832540301767,0.37061177883673757,1.539870084846224,-1.349725156086156
128,6,0.0031043233231306143,-1.1615507036011192,1.6864656676939502,-1.4161740596107155
128,7,0.0004680510635171646,-0.5782888812458404,1.3508541867925172,-1.0050506151465213
128,8,0.039379529215954265,-1.1408549215949908,1.271334248171439,-0.6962723582351784
128,9,0.0717778536944772,-0.005585926236395977,1.54835161866773,-1.235669291447389
128,10,0.09819176176349083,-1.1969901881664176,1.4808607805261222,-2.2226833662159757
256,1,0.05073036602920369,-1.0613994106397748,1.459061638859328,-1.7536329614584623
256,2,0.020554477487942577,-1.0873466348515841,1.6200544582479162,-1.6916920995515103
256,3,0.10245560732134924,-1.2134730685428337,1.4094303963422838,-1.6450723730489063
256,4,0.26357628253451665,-0.16542054248026528,1.5494827728000178,-1.5344534394904583
256,5,0.09190725438117475,-0.8091507623940632,1.5747052611405625,-1.2391455464052712
256,6,0.004594400333223102,-1.3477334230652576,1.4887637891863204,-1.9143147398925207
256,7,1.8736501258512666,1.480422338442799,1.6559754904548591,-1.2960824217299323
256,8,0.6179172126881064,-0.17244040098823854,1.4765352596123156,-1.6471243978696593
256,9,0.07642227874481632,-1.0561146505211374,1.4078488412200547,-2.1044867539523
256,10,7.823633045895442e-05,0.13300341397260196,1.5430913519374778,-1.6861563222334917
512,1,0.08669694687651353,0.1636717454075014,1.377906142017173,-1.92016999958321
512,2,0.1875661880689839,-0.9104932484001642,1.411947735808816,-1.7801300387596877
512,3,0.006546586950399118,-1.298165610348703,1.5197797649806555,-1.7813483108833619
512,4,0.45696613380867407,0.2333262447130191,1.395471280325611,-1.825916454933647
512,5,0.0005237661049556796,0.6827120860320552,1.4515715100806408,-1.8082250484146558
512,6,0.13374896472879486,0.489214796058278,1.4900822590409144,-1.9661518603713426
512,7,0.8771084189195332,0.17580233708947057,1.4841134802800575,-1.9427288397369944
512,8,0.6414979109096692,-0.4367759303246457,1.5020907245473072,-1.7184016372172861
512,9,0.35264616509698143,-0.7155037245331455,1.5966095665086837,-2.1868461682183784
512,10,1.310129569723084,0.37055420897055624,1.592573928908154,-1.92911891402413
1024,1,0.0007005680199519903,-0.618561251184222,1.5317951527082372,-1.7652249255339623
1024,2,0.9963884016462538,-0.2752970408046984,1.6329928336294919,-1.8488715000000142
1024,3,0.08970663692779648,-0.2871110756894746,1.374413875700946,-2.100729964729803
1024,4,0.4244218642203402,-0.38037293497076696,1.3004788565629437,-1.9843055640472473
1024,5,0.10796489153610765,-1.0820123344158186,1.5035942243167355,-1.8948938847295043
1024,6,0.009644874173730226,-0.7660852619218477,1.34927539695261,-2.050552281646998
1024,7,0.2626736821367467,1.5944709625361382,1.4997663974737518,-1.7973092304125238
1024,8,0.004268660720982201,-1.6109541835785675,1.5698633042161603,-1.9604244546823484
1024,9,0.26259448165792026,-0.6136403794584786,1.5492546408959773,-1.8498693504673878
1024,10,0.004159601950116796,-0.41696351134201315,1.4840266453546587,-1.650027558384855
2048,1,0.01976619956835949,-0.15125194461603364,1.4136097224632045,-2.2786758489876577
2048,2,0.572657089876956,-0.022020655510821108,1.5171608102774286,-1.6938565036907645
2048,3,0.0037423209436387257,-0.7346531928370057,1.4612701428188826,-1.9400437585227308
2048,4,0.11705548712050091,-0.539136130796543,1.4740327000925064,-2.044093076953394
2048,5,0.015625110241255402,-0.5882778107519857,1.536789555919158,-1.7889531187360783
2048,6,1.2614765844517162,0.15633833872551106,1.4681814527676675,-2.444066882793238
2048,7,0.007968306600691403,-0.8539418623383197,1.4771557415323768,-1.851651242792646
2048,8,0.1802497651529643,-1.152805731992706,1.442872034021276,-2.1855954052050013
2048,9,0.18668118784986326,-0.5305540680123868,1.4316446930451565,-2.1018370570638236
2048,10,0.1332531764424362,-0.4069660141347189,1.3745068680971402,-2.0463648860852732
4096,1,0.3903032925492195,-0.049277881744129726,1.5160386484238728,-1.8690536265720301
4096,2,0.1492655709881967,-0.4271948119364213,1.5533608864436719,-1.9662599869801127
4096,3,0.00032709507415704233,-1.486579561754658,1.4474149402596914,-1.8944529454510246
4096,4,0.0047861131084095294,-0.5353804944587388,1.4828365695871466,-1.7998131161410733
4096,5,0.10636170963500982,-1.082771948331709,1.434146664428941,-2.06457819819909
4096,6,0.17851891843135287,-1.011356263124344,1.5369813294089252,-2.061566144957334
4096,7,0.1616829008141093,-0.7421926980400837,1.4811547783389203,-1.843215281091506
4096,8,0.0543402223330261,-1.3634206689698507,1.4783479285478194,-1.9744055564457468
4096,9,0.03136868713465445,-1.6365295406784608,1.4623827207205935,-2.002864941499922
4096,10,0.05264220998029213,-0.6578200475391993,1.4645085573856451,-2.2649845457756315
8192,1,0.1207741184034329,-0.34386103168627535,1.4720150557623655,-1.9032939616829032
8192,2,0.1996382759124832,-0.7104200315536313,1.4098556804104774,-1.975665764916574
8192,3,6.724634843242049e-05,-0.6192916047043848,1.4958402094462602,-2.096655386370015
8192,4,0.1558928037380079,-0.35983981886810135,1.501526334291833,-2.2540097414166236
8192,5,0.08542895718395212,-0.43445589524180983,1.4889266965163412,-2.1070663985608107
8192,6,1.0659806170465376,0.5447954764069256,1.4995557018578827,-1.98643322893645
8192,7,0.06833148911447497,-1.0036926208585788,1.4864985372294572,-1.9314499975949277
8192,8,0.05816888101977473,-1.2911251129405898,1.5100020216460501,-1.7611156447873995
8192,9,1.1097180019109971,-0.015160601139752039,1.5358444239570208,-1.879224472854449
8192,10,1.0386651752983669,0.9019040908999498,1.3764277870433392,-1.9956359034587559
